gender,age,height_cm,weight_kg,bodyfat_percent,activity_level,goal_type,goal_delta_kg,goal_time_weeks
0,37,167,89.8,25.7,5,0,0,16
0,25,175,94.2,18.9,4,0,0,5
1,36,184,88.2,13.2,4,0,0,5
1,22,180,93.4,29.6,5,2,2,7
1,37,184,82.5,25.9,1,0,0,5
1,53,173,80.1,26.5,2,0,0,16
1,26,186,101.2,27.6,3,1,-7,14
0,21,193,96.7,25.1,1,1,-3,8
1,38,156,104.9,24.7,1,0,0,8
1,30,162,91.4,0.0,2,2,4,13
1,25,164,54.8,26.7,5,2,7,16
0,27,190,53.1,15.3,5,0,0,8
1,29,167,74.9,0.0,5,1,-8,7
0,32,160,69.2,23.1,3,0,0,9
1,38,199,75.1,25.2,2,2,5,6
1,58,167,94.5,26.3,4,2,2,6
0,43,199,106.2,14.3,1,2,3,12
0,23,162,105.0,10.9,2,0,0,6
1,27,196,102.1,18.1,5,1,-8,8
0,40,156,60.3,17.0,4,1,-8,7
1,19,182,83.0,29.4,3,2,4,14
0,34,176,69.8,14.8,5,2,4,6
1,40,195,104.2,24.9,3,2,6,16
1,60,151,66.6,22.3,1,0,0,8
0,42,168,59.3,29.4,4,1,-7,9
1,57,194,109.7,26.9,5,1,-7,16
0,31,199,105.2,14.4,2,1,-2,10
1,42,200,55.3,0.0,3,0,0,9
1,30,189,90.4,14.9,2,2,3,10
0,43,186,56.2,26.4,3,1,-5,9
1,26,174,70.8,21.5,3,0,0,4
1,47,198,74.0,11.4,2,2,5,13
1,35,161,50.0,19.2,3,1,-2,7
0,37,179,102.4,28.8,4,1,-7,9
0,54,154,59.0,29.3,3,1,-3,14
0,44,176,101.3,16.9,4,0,0,11
0,30,150,68.8,17.8,5,0,0,14
0,55,154,100.2,20.7,2,0,0,12
0,55,155,54.1,10.5,2,1,-2,8
1,21,187,91.1,25.1,2,0,0,4
0,22,184,61.3,29.8,2,0,0,8
0,58,157,77.8,19.6,1,1,-6,9
1,56,164,66.5,22.5,5,2,3,7
0,45,156,86.0,23.9,3,2,2,8
1,32,166,56.8,18.2,1,1,-2,14
1,45,179,64.1,0.0,2,1,-6,16
1,20,198,74.1,27.6,2,2,7,11
1,29,172,69.5,13.3,3,1,-4,6
0,24,170,51.7,13.6,3,2,6,6
1,26,187,88.3,11.3,4,2,3,4
0,55,152,96.0,17.9,5,2,5,13
0,55,156,63.9,26.6,3,0,0,7
1,58,163,56.8,25.1,2,0,0,10
1,57,187,64.8,17.5,5,1,-8,12
1,46,193,64.6,18.9,1,2,7,6
1,33,157,74.3,15.8,4,2,2,8
1,36,181,61.5,0.0,1,1,-6,6
1,42,171,99.9,16.0,1,1,-7,7
1,36,151,90.0,16.7,2,2,5,16
1,26,190,63.6,10.9,5,2,8,15
0,34,152,87.7,29.1,4,1,-4,6
0,33,171,103.5,21.6,4,1,-4,14
1,49,164,57.3,0.0,1,1,-7,10
0,39,163,65.1,27.4,4,1,-8,16
0,29,174,100.2,12.9,3,0,0,14
1,45,183,56.9,15.2,2,0,0,11
1,59,184,69.9,25.3,3,0,0,12
1,47,175,62.1,20.6,4,2,8,4
0,54,185,81.0,20.7,3,1,-4,9
1,37,178,65.8,12.0,3,2,2,6
1,49,160,65.1,19.8,1,1,-5,5
1,57,177,109.8,27.1,5,1,-4,9
1,53,195,70.6,0.0,2,2,3,12
0,19,159,97.3,22.9,1,0,0,15
1,27,170,106.3,29.1,4,2,3,16
1,36,155,94.7,17.7,5,0,0,10
0,30,154,54.5,17.5,1,0,0,15
1,46,164,68.4,15.5,2,1,-7,16
0,47,187,104.3,11.5,4,2,6,16
0,46,153,63.8,28.7,4,1,-7,11
0,46,191,102.6,17.7,5,0,0,14
1,52,174,86.9,11.2,5,1,-5,16
0,25,189,89.4,0.0,3,1,-7,5
1,18,184,68.7,27.3,2,1,-8,5
0,32,192,79.5,27.4,3,0,0,6
1,60,151,102.6,16.1,4,1,-3,16
0,46,153,82.7,19.0,3,0,0,12
0,45,173,80.4,25.9,2,2,4,7
1,42,162,78.7,15.5,3,1,-6,11
1,18,187,101.7,0.0,5,0,0,12
0,35,167,66.7,20.6,4,0,0,4
1,26,177,56.3,0.0,1,1,-7,4
0,44,185,62.5,11.3,2,0,0,14
0,27,195,62.3,29.2,1,1,-3,5
1,34,193,71.7,26.3,3,2,6,5
1,29,172,67.1,27.3,2,2,6,11
0,56,197,109.8,0.0,2,0,0,11
1,38,189,90.7,28.8,3,2,6,14
0,48,154,59.9,19.3,3,2,5,5
0,54,170,102.9,24.8,2,2,2,14
1,53,186,64.4,28.1,3,1,-2,4
0,30,184,67.1,23.4,1,2,3,16
0,59,161,78.3,29.7,2,1,-2,5
1,58,174,92.0,26.9,4,2,6,7
0,59,182,92.6,14.3,2,2,4,4
1,50,150,65.1,0.0,1,0,0,14
0,50,189,65.8,11.5,1,1,-4,14
0,27,153,58.9,10.2,4,2,2,9
1,23,184,58.6,27.0,3,0,0,14
0,38,173,53.7,17.8,3,1,-3,12
1,32,185,55.4,25.0,1,1,-3,5
0,26,196,53.0,24.9,2,0,0,13
1,27,198,105.1,16.5,2,2,2,11
0,53,195,82.9,23.0,2,1,-2,16
0,34,155,77.0,14.8,3,0,0,8
1,50,169,93.4,0.0,2,2,7,13
0,23,153,90.6,22.5,3,0,0,4
1,54,190,72.5,21.0,4,0,0,12
0,56,189,51.8,12.4,4,1,-5,5
1,33,194,104.1,18.3,4,0,0,5
0,47,175,57.3,13.1,1,0,0,14
1,50,151,70.9,29.2,1,1,-3,5
0,56,200,76.0,12.1,2,0,0,13
1,35,176,63.0,19.8,4,2,5,16
1,51,183,72.3,0.0,3,1,-3,6
1,28,163,82.1,0.0,2,0,0,15
1,49,156,65.2,25.2,5,2,3,5
0,54,178,105.4,13.6,2,1,-2,4
0,34,176,57.6,20.1,2,2,8,14
1,24,180,68.9,13.5,3,1,-5,10
0,50,194,99.5,12.9,1,2,7,12
0,42,161,52.7,0.0,5,1,-4,16
1,28,200,106.6,17.0,5,1,-5,12
0,36,196,109.2,24.5,4,0,0,12
0,48,162,57.1,28.3,4,2,8,5
0,44,166,101.2,16.2,1,0,0,15
1,47,198,105.4,21.9,5,0,0,6
1,31,197,101.8,22.2,3,1,-8,8
0,23,194,66.5,22.9,2,2,2,4
0,18,154,107.2,23.5,5,1,-6,10
1,53,188,72.4,13.6,1,2,5,9
1,26,172,103.7,19.3,2,2,7,15
0,40,164,87.5,27.9,4,2,8,5
0,23,175,99.2,0.0,4,2,6,13
1,44,154,82.6,29.9,3,1,-7,11
0,37,185,50.5,23.3,5,0,0,16
1,36,179,51.1,20.1,4,0,0,12
1,41,151,51.3,14.4,3,2,4,15
