food_id;food_name_hu;food_name_en;kcal_per_100;prot;carbs;fat
64ed0625-32a9-441c-965a-f46814b58da4;zsírszegény joghurt;low-fat yogurt;62.0;4.9;5.9;1.5
fdafb429-18d8-492e-a384-e9cc21e16223;narancs;orange;47.4;0.9;12.1;0.2
4c1db322-93e7-42a7-9c34-00cc275d3d22;tojás (egész);egg (whole);139.7;12.7;1.0;10.7
7a97eb46-4f40-4110-9bb9-1d6699214a83;fehér kenyér;white bread;266.2;8.0;49.0;3.0
15d6ce1c-8d58-4766-842f-666eb564ec3c;tojásfehérje;egg white;50.5;10.7;0.0;0.0
e828a6eb-f194-41e8-a549-1c3e8724b190;bulgur;bulgur;325.3;11.4;69.4;1.2
8c47b27f-5195-45eb-b13b-5d786541f56c;csicseriborsó (főtt);chickpeas (cooked);165.0;9.1;27.2;2.6
0c77a3f0-5fa0-492d-a201-7d1dcbcadadb;pulykamell sonka;turkey ham;113.8;18.6;1.0;3.1
2505c201-ead6-4a8d-ba15-65bcfafb296c;paprika;bell pepper;27.1;1.0;6.3;0.3
e79d54b4-be53-4520-bc67-cbaef49fe227;pulykamell sonka;turkey ham;110.0;18.0;1.0;3.0
5292bb6f-c067-4b61-ad4e-aa0b41989cb1;fehér rizs (nyers);white rice (raw);377.6;7.3;81.8;0.6
a1ce2f07-7737-401c-b42b-215c8f92dad4;zabpehely;oat flakes;404.1;13.5;62.3;7.3
c65ae9d2-72ed-4b4e-9015-e8307c920daa;burgonya;potato;75.1;1.9;16.6;0.1
e5424447-983a-4bc2-966c-5065168df7b6;trappista sajt;semi-hard cheese;352.1;26.9;2.1;29.0
3f7593a3-4602-4426-9501-14e8116c95c9;tej 1.5%;milk 1.5%;47.9;3.5;5.1;1.5
ecbdbf1a-a27e-4560-b2a8-3fced3331239;burgonya;potato;74.7;1.9;16.5;0.1
e273b1d8-15bd-497c-9299-0aa9678ed7bf;édesburgonya;sweet potato;84.3;1.6;19.6;0.1
