calories_kcal,protein_g,carbs_g,fat_g,meals_per_day,snacks_per_day
3441.25,170.1,500.7,84.2,5,1
3484.77,194.9,500.2,78.3,5,1
3490.79,160.0,523.9,83.9,4,1
3832.53,176.4,531.8,111.1,5,2
2028.55,164.2,191.4,67.3,4,1
2257.29,150.8,263.1,66.8,4,1
2421.23,219.8,186.2,88.6,4,1
1857.07,196.9,59.1,92.6,4,1
2491.41,171.4,254.0,87.8,5,1
2669.31,152.9,325.7,83.9,5,2
2763.51,107.0,438.3,64.7,6,2
2548.8,107.5,433.2,42.9,4,1
2259.86,173.9,239.9,67.2,4,1
2355.13,141.4,303.5,63.9,5,1
2639.14,135.3,340.0,82.0,5,2
3669.28,188.0,541.2,83.6,5,2
3223.07,206.4,386.9,94.4,5,2
3287.33,206.4,386.1,101.9,5,1
3307.81,218.9,386.0,98.7,4,1
2002.46,126.8,243.5,58.0,4,1
2969.36,164.2,397.9,80.1,5,1
3465.63,131.8,595.7,61.7,5,1
3512.45,174.5,458.1,109.1,5,2
1785.31,110.8,193.7,63.0,4,1
1758.54,123.4,195.6,53.6,4,1
3195.22,260.8,291.9,109.4,4,1
2546.62,218.5,203.1,95.6,4,1
2219.6,109.8,336.4,48.3,4,1
3230.58,154.9,450.9,89.7,6,2
1566.67,130.0,140.6,53.8,4,1
2434.25,114.6,363.3,58.0,4,1
2932.0,146.9,412.1,77.3,6,2
1540.87,104.7,172.7,47.9,4,1
2683.87,229.2,245.1,87.4,4,1
1576.04,127.5,147.4,52.9,4,1
3774.81,162.7,576.1,91.1,4,1
3023.96,112.4,494.7,66.2,5,1
2868.67,199.3,304.0,95.0,4,1
1557.45,121.3,157.8,49.0,4,1
2535.3,156.3,285.0,85.6,4,1
1786.82,103.6,220.6,54.5,4,1
1652.26,161.1,84.3,74.5,4,1
3315.1,131.5,545.4,67.5,5,2
3140.63,170.1,391.0,99.6,5,2
1318.64,114.5,107.2,48.0,4,1
1511.12,133.4,119.3,55.6,4,1
2592.11,120.4,379.5,65.8,6,1
2072.71,145.6,231.3,62.8,4,1
2434.01,86.9,389.5,58.7,5,2
3945.53,153.4,597.4,104.7,5,2
4280.61,175.5,668.8,100.4,6,2
2143.8,128.1,284.2,54.9,5,1
1772.28,119.3,207.2,51.8,4,1
2317.6,146.9,289.8,63.4,4,1
2260.96,120.0,301.6,63.9,5,1
3435.26,134.9,589.9,59.6,5,2
1349.04,143.9,61.7,58.5,4,1
2095.28,208.3,97.0,97.1,4,1
3184.36,154.1,433.5,92.7,5,2
3438.64,119.1,597.8,63.4,5,2
2364.04,206.8,210.4,77.3,4,1
2929.34,238.4,305.0,84.0,4,1
1144.32,119.8,57.3,48.4,4,1
1919.4,130.5,204.3,64.5,4,1
3495.44,186.9,463.4,99.4,5,1
1941.81,98.4,272.2,51.0,4,1
2321.67,143.8,290.6,64.9,4,1
2968.44,111.6,487.9,63.4,5,2
2179.22,185.4,187.2,76.5,4,1
3003.13,120.6,471.7,70.4,5,2
1437.83,130.7,101.0,56.8,4,1
3190.41,248.3,324.6,99.9,4,1
2461.78,122.7,313.2,79.8,5,2
2388.47,212.9,199.5,82.1,4,1
3791.41,181.2,539.0,101.2,5,2
3901.58,160.4,614.2,89.2,4,1
1609.43,109.4,188.9,46.3,4,1
1780.28,155.7,146.8,63.4,4,1
4558.55,200.3,716.5,99.0,5,1
1866.55,152.2,191.1,54.8,4,1
4168.41,224.5,595.5,98.7,4,1
3095.95,200.2,391.0,81.2,4,1
2424.51,204.4,239.0,72.4,4,1
1593.69,142.1,132.2,55.1,4,1
2505.87,157.0,295.9,77.1,4,1
