plan_id,calories_kcal,protein_g,carbs_g,fat_g,meals_per_day,snacks_per_day
0e9db4bd-fed2-479b-b3ad-d4d92f2c9685,3441.25,170.1,500.7,84.2,4,1
c9047439-5970-4bc4-9a8a-8e744b7ad712,3484.77,194.9,500.2,78.3,4,1
1a824ade-a0bd-4028-bb46-76ef3cc40818,3490.79,160.0,523.9,83.9,4,1
54326ef7-623b-4a8a-8e3a-72d21eb2ebbf,3832.53,176.4,531.8,111.1,4,1
bf06a919-740d-4ea8-afae-6541de26b389,2028.55,164.2,191.4,67.3,4,1
bd4ffc05-3007-49ca-81fb-517eb600ed31,2257.29,150.8,263.1,66.8,4,1
903cfcd8-9df6-4b91-8e7a-aab3c0a37ef6,2421.23,219.8,186.2,88.6,4,1
35ceed0f-82cd-4f18-bf96-65312c9e1ee9,1857.07,196.9,59.1,92.6,4,1
56392f68-fa0c-463d-a070-c72d89c9a626,2491.41,171.4,254.0,87.8,4,1
c5c2fb0f-1a5c-4fe0-83ed-e95ce2de4381,2669.31,152.9,325.7,83.9,4,1
3dc2cc36-c199-4980-8eec-c5ebb761e740,2763.51,107.0,438.3,64.7,4,1
021c73fa-c5ce-4bb7-9695-148fceb883e3,2548.8,107.5,433.2,42.9,4,1
4ea6f1e5-6ecc-4d13-a686-b87f3c449b5f,2259.86,173.9,239.9,67.2,4,1
3ddb6ff8-7f24-494a-a3d1-d0c1aeef8acf,2355.13,141.4,303.5,63.9,4,1
2399a2e5-b5f6-42aa-aa69-0fb3cf00b940,2639.14,135.3,340.0,82.0,4,1
e7dc333e-acf7-455d-9df1-9b9582d2b4a4,3669.28,188.0,541.2,83.6,4,1
1720ee59-2888-4f4a-b5f9-d3edd45cf50f,3223.07,206.4,386.9,94.4,4,1
39e3f387-08d2-46f8-87be-7d51fd13a643,3287.33,206.4,386.1,101.9,4,1
9729f0ed-d46b-4844-88ce-0521638388c1,3307.81,218.9,386.0,98.7,4,1
c81b4496-fbcf-4e56-a526-0f33d9a8b2be,2002.46,126.8,243.5,58.0,4,1
6e56d3e9-0597-436b-8018-5d9f4b341e98,2969.36,164.2,397.9,80.1,4,1
bba7337e-73a8-4588-91bb-dc0cbda6cbed,3465.63,131.8,595.7,61.7,4,1
e1eb35a5-b0c5-4ba9-a4cc-a3edec7317fd,3512.45,174.5,458.1,109.1,4,1
7f02147f-54cc-4e45-9023-f1a4197c590f,1785.31,110.8,193.7,63.0,4,1
6af24842-aabe-4da6-8f51-5c665a807225,1758.54,123.4,195.6,53.6,4,1
aa3e7470-9774-4338-bc72-5f32a2758984,3195.22,260.8,291.9,109.4,4,1
d216b0f1-760b-4b79-9a2f-6e2dd136ea69,2546.62,218.5,203.1,95.6,4,1
f843eb35-f22d-4701-bedb-39638dd76b12,2219.6,109.8,336.4,48.3,4,1
21c66c68-e090-4c9c-9166-cb9dd6c8c90c,3230.58,154.9,450.9,89.7,4,1
e235de23-a197-42fe-a5b5-acba5a76b7d0,1566.67,130.0,140.6,53.8,4,1
f102930d-521b-4eb1-a86a-b5843c1eb4de,2434.25,114.6,363.3,58.0,4,1
a6b3bae5-035a-4695-854b-6d3ca5d2dd13,2932.0,146.9,412.1,77.3,4,1
6fde3a79-9ec5-47d0-b627-06829385718d,1540.87,104.7,172.7,47.9,4,1
4e40c88c-c535-4cb5-ba5f-8e851f36b583,2683.87,229.2,245.1,87.4,4,1
339b39b3-c09e-4f26-8d10-e675af941728,1576.04,127.5,147.4,52.9,4,1
315be9ec-65f4-4491-a9a8-a108edf9edd2,3774.81,162.7,576.1,91.1,4,1
d1b54fe0-7488-4a04-83b7-ac246f8cdb50,3023.96,112.4,494.7,66.2,4,1
dcd0255d-a90c-4cb5-b0f1-f4daaae768e4,2868.67,199.3,304.0,95.0,4,1
3956070d-4245-48ae-88f7-bec1dc00dd06,1557.45,121.3,157.8,49.0,4,1
3442f6bf-bbf6-4be6-b59c-e5cb0bcc018f,2535.3,156.3,285.0,85.6,4,1
b0f936e6-1d46-4d2c-a1ca-c251144258e4,1786.82,103.6,220.6,54.5,4,1
1610ad1e-44b0-49cb-85ca-8928ad78fe3a,1652.26,161.1,84.3,74.5,4,1
ad627d34-1878-4030-8bbb-a95ee260c004,3315.1,131.5,545.4,67.5,4,1
20c97667-d89a-47ad-a221-5e47def160f8,3140.63,170.1,391.0,99.6,4,1
bc3ef8f8-998e-414a-8567-f002bd343507,1318.64,114.5,107.2,48.0,4,1
4230c8c0-2977-4644-bcff-61bea16b8b79,1511.12,133.4,119.3,55.6,4,1
6297f35a-75e0-4e44-85aa-d1fa3404187b,2592.11,120.4,379.5,65.8,4,1
dbc0215b-c82b-48a6-b6cf-1a7a6d669788,2072.71,145.6,231.3,62.8,4,1
1334d27b-0a98-4ef0-ba9f-1827e05fa5de,2434.01,86.9,389.5,58.7,4,1
6b9b07b2-7d46-4a51-a57c-774df6f3921b,3945.53,153.4,597.4,104.7,4,1
