case_id,gender,age,height_cm,weight_kg,bodyfat_percent,activity_level,goal_type,goal_delta_kg,goal_time_weeks,plan_id
e35dc5ec-2bc0-4b33-a347-595e9b19d7d6,male,37,167,89.8,25.7,5,maintain,0,16,0e9db4bd-fed2-479b-b3ad-d4d92f2c9685
30e9ff10-3bcb-4d49-9260-21e23296739a,male,25,175,94.2,18.9,4,maintain,0,5,c9047439-5970-4bc4-9a8a-8e744b7ad712
725e938d-a9c2-497c-97a0-96fe0db8269d,female,36,184,88.2,13.2,4,maintain,0,5,1a824ade-a0bd-4028-bb46-76ef3cc40818
8dea4332-229c-4611-92ad-76464c65e264,female,22,180,93.4,29.6,5,gain,2,7,54326ef7-623b-4a8a-8e3a-72d21eb2ebbf
539177cb-f4b2-456b-b502-97e804b3302c,female,37,184,82.5,25.9,1,maintain,0,5,bf06a919-740d-4ea8-afae-6541de26b389
3d152362-454d-41d0-8736-d3e440cc4dff,female,53,173,80.1,26.5,2,maintain,0,16,bd4ffc05-3007-49ca-81fb-517eb600ed31
0b66d80b-19b7-4cd8-b9aa-76d735c5d72a,female,26,186,101.2,27.6,3,lose,-7,14,903cfcd8-9df6-4b91-8e7a-aab3c0a37ef6
adb81cb8-ba2f-4fee-b249-675fc35e18c1,male,21,193,96.7,25.1,1,lose,-3,8,35ceed0f-82cd-4f18-bf96-65312c9e1ee9
a22334f6-9aa5-47bf-ab77-9705eae38899,female,38,156,104.9,24.7,1,maintain,0,8,56392f68-fa0c-463d-a070-c72d89c9a626
c5dda57a-1feb-4ae6-941a-8ea227220faa,female,30,162,91.4,0.0,2,gain,4,13,c5c2fb0f-1a5c-4fe0-83ed-e95ce2de4381
b2df38ee-7891-46fc-b7d6-eb7e547c03ca,female,25,164,54.8,26.7,5,gain,7,16,3dc2cc36-c199-4980-8eec-c5ebb761e740
d58bdf92-a048-43cd-ac51-4adcc91dd48b,male,27,190,53.1,15.3,5,maintain,0,8,021c73fa-c5ce-4bb7-9695-148fceb883e3
a9dd5d96-c212-417c-87bb-5231b7b42ccf,female,29,167,74.9,0.0,5,lose,-8,7,4ea6f1e5-6ecc-4d13-a686-b87f3c449b5f
f539e896-a6b8-4f2a-aded-1ace0a7fe42f,male,32,160,69.2,23.1,3,maintain,0,9,3ddb6ff8-7f24-494a-a3d1-d0c1aeef8acf
ee505732-61fc-4492-a27c-73f2e5c81712,female,38,199,75.1,25.2,2,gain,5,6,2399a2e5-b5f6-42aa-aa69-0fb3cf00b940
96ca3574-2c2e-4838-85c4-2cb6a1177220,female,58,167,94.5,26.3,4,gain,2,6,e7dc333e-acf7-455d-9df1-9b9582d2b4a4
4eedef93-a7f0-452c-8cf0-71e9c630af8f,male,43,199,106.2,14.3,1,gain,3,12,1720ee59-2888-4f4a-b5f9-d3edd45cf50f
0adea467-74e4-4152-a837-38c164c23c1c,male,23,162,105.0,10.9,2,maintain,0,6,39e3f387-08d2-46f8-87be-7d51fd13a643
56c08bfe-a08c-450f-8e68-daccde124fc1,female,27,196,102.1,18.1,5,lose,-8,8,9729f0ed-d46b-4844-88ce-0521638388c1
210fb579-ae6d-4157-a423-56daab74c9ae,male,40,156,60.3,17.0,4,lose,-8,7,c81b4496-fbcf-4e56-a526-0f33d9a8b2be
8cefc983-7b5b-4b3c-b66d-5752ab63c400,female,19,182,83.0,29.4,3,gain,4,14,6e56d3e9-0597-436b-8018-5d9f4b341e98
a29e296a-d56b-4aef-bbb8-2665eaf329dc,male,34,176,69.8,14.8,5,gain,4,6,bba7337e-73a8-4588-91bb-dc0cbda6cbed
68512fee-9477-46b5-8f67-bfbb83e5f3e3,female,40,195,104.2,24.9,3,gain,6,16,e1eb35a5-b0c5-4ba9-a4cc-a3edec7317fd
b16aa92b-6214-4bb8-b47f-6c1fc2c3be83,female,60,151,66.6,22.3,1,maintain,0,8,7f02147f-54cc-4e45-9023-f1a4197c590f
418f524a-a7d8-426a-9647-eb7e7a2654c0,male,42,168,59.3,29.4,4,lose,-7,9,6af24842-aabe-4da6-8f51-5c665a807225
85cb8437-85f5-4f14-85f9-eb86a72f8c06,female,57,194,109.7,26.9,5,lose,-7,16,aa3e7470-9774-4338-bc72-5f32a2758984
b4c8ce37-2112-43bb-a7a4-6c10eddb5228,male,31,199,105.2,14.4,2,lose,-2,10,d216b0f1-760b-4b79-9a2f-6e2dd136ea69
8922de24-442d-4239-9c68-a0e4c2854920,female,42,200,55.3,0.0,3,maintain,0,9,f843eb35-f22d-4701-bedb-39638dd76b12
