exercise_id;name_hu;name_en;primary_muscle_group;primary_muscle_subgroup;movement_type;pattern;equipment;is_compound;difficulty_level;push_pull_category;min_experience_level;default_sets;default_reps_low;default_reps_high;is_home_friendly
a9a0b8c3-3f42-4a0b-82a0-5f2d0e68f9e8;Fekvenyomás rúddal;Barbell Bench Press;chest;chest_mid;compound;horizontal_press;barbell;1;2;Push;1;4;5;8;0
f4b1b124-62c8-4c10-bd16-b25a06250f74;Ferdőpados nyomás kézi súllyal;Incline Dumbbell Press;chest;chest_upper;compound;horizontal_press;dumbbell;1;2;Push;1;3;8;12;0
b1ef4b39-45fd-49d8-bfd4-65baf47aa6ff;Tárogatás kézi súllyal;Dumbbell Fly;chest;chest_mid;isolation;fly;dumbbell;0;1;Push;1;3;10;15;1
c3e6d3c5-cf54-4d8c-9198-57fda6d786e2;Tárogatás kábelen;Cable Crossover;chest;chest_lower;isolation;fly;cable;0;2;Push;1;3;10;15;0
b2d060df-632d-4751-9b19-fae01cb0a428;Tolódzkodás párhuzamos korláton;Dips (Chest Lean);chest;chest_lower;compound;horizontal_press;bodyweight;1;3;Push;2;3;6;10;0
a8f74304-30e5-487b-87fb-99385a6c849f;Mellgép nyomás;Chest Press Machine;chest;chest_mid;compound;horizontal_press;machine;1;1;Push;1;3;8;12;0
d52c4121-374d-4a29-bfc1-24b50c44c3ac;Fekvenyomás keretben (sima);Smith Machine Bench Press;chest;chest_mid;compound;horizontal_press;machine;1;2;Push;1;4;6;10;0
e5ec8f52-b7cd-4e2c-89d5-02c8e0fe3cd3;Fekvenyomás keretben (döntött);Smith Incline Press;chest;chest_upper;compound;horizontal_press;machine;1;2;Push;1;4;6;10;0
91e59fb2-21e2-4eeb-bdb3-92851e0fbb86;Húzódzkodás széles fogással;Pull-up;back;back_lats;compound;vertical_pull;bodyweight;1;3;Pull;2;4;4;8;0
2c7fa8e9-ee49-4f60-a09f-6c24607a27a8;Lehúzás mellhez;Lat Pulldown;back;back_lats;compound;vertical_pull;cable;1;1;Pull;1;3;8;12;0
4fd9fbde-07de-4bec-a727-0f844d36f82d;Evezés rúddal döntött törzzsel;Barbell Row;back;back_mid;compound;horizontal_pull;barbell;1;2;Pull;2;4;6;10;0
a576766c-05c2-4d5d-a282-3fc27b9838e1;Evezés ülve;Seated Cable Row;back;back_mid;compound;horizontal_pull;cable;1;1;Pull;1;3;8;12;0
f5ebbf67-4670-49c7-b7f0-d3e232fb375c;Egykezes evezés;Dumbbell Row;back;back_mid;compound;horizontal_pull;dumbbell;1;2;Pull;1;3;8;12;1
434c5a6b-36be-4833-835c-5efe83c5f424;Lehúzás szűk fogással;Close-grip Pulldown;back;back_lats;compound;vertical_pull;cable;1;1;Pull;1;3;8;12;0
bfa2a1b7-10bb-4e69-a001-7d96a2f6f605;T-bar evezés;T-Bar Row;back;back_mid;compound;horizontal_pull;machine;1;2;Pull;2;4;6;10;0
d5cb03a2-b50c-4b96-a60b-8565ac8dff69;Merev karos lehúzás;Straight-arm Pulldown;back;back_lats;isolation;pulldown;cable;0;1;Pull;1;3;10;15;0
2a0750a7-0f2e-4a40-888c-7c9b86b1551f;Evezés gépen (mellkas támasz);Chest Supported Row;back;back_mid;compound;horizontal_pull;machine;1;2;Pull;1;4;6;10;0
1d04588c-8a23-4a37-8425-b041b2f8075e;Bicepsz rúddal;Barbell Curl;biceps;biceps;isolation;curl;barbell;0;2;Pull;1;3;6;10;0
df9be64e-52e1-4e95-87f1-b2999d393577;Bicepsz kézisúlyzóval;Dumbbell Curl;biceps;biceps;isolation;curl;dumbbell;0;1;Pull;1;3;8;12;1
7ee91594-7590-4f57-95ae-3692c0345f7e;Kalapács bicepsz;Hammer Curl;biceps;biceps_brachialis;isolation;curl;dumbbell;0;1;Pull;1;3;8;12;1
fe5e28d6-9973-48e3-ac92-aeea4d45b8f1;Scott-pad bicepsz;Preacher Curl;biceps;biceps;isolation;curl;machine;0;2;Pull;1;3;8;12;0
fae10b91-cda6-4b71-a121-f837fe582c20;Kábeles bicepsz;Cable Curl;biceps;biceps;isolation;curl;cable;0;2;Pull;1;3;10;15;0
c44df3bd-5d31-4ac2-b79a-8f3e8603e7f1;Koncentrált bicepsz;Concentration Curl;biceps;biceps;isolation;curl;dumbbell;0;2;Pull;1;3;10;12;1
744b8c43-2cef-45ff-b28a-1e7a165cbbe6;Szűk fogású fekvenyomás;Close-grip Bench Press;triceps;triceps;compound;horizontal_press;barbell;1;3;Push;2;4;4;8;0
c7b9e84c-9692-48a3-9175-350d0ffbdb79;Tricepsz letolás;Triceps Pushdown;triceps;triceps_lateral;isolation;extension;cable;0;1;Push;1;3;8;12;0
8cbcdb11-b820-4b20-b006-d0e3052ff72d;Skullcrusher;Skullcrusher;triceps;triceps_long;isolation;extension;barbell;0;2;Push;2;3;8;12;0
4587de25-be14-4a1d-a64c-d47eedac2ad7;Fölülről tricepsznyújtás;Overhead Extension;triceps;triceps_long;isolation;extension;dumbbell;0;2;Push;1;3;8;12;1
e0db7353-eeb8-4776-a6ac-e5efa7f124ae;Pad közti tolódzkodás;Bench Dips;triceps;triceps;compound;horizontal_press;bodyweight;1;1;Push;1;3;8;15;1
df2eb1db-5d19-44d4-9df6-769cbb2f92b1;Tricepsz gép;Triceps Machine;triceps;triceps;isolation;extension;machine;0;1;Push;1;3;10;15;0
c931ff02-9363-4fb0-a3b2-014862b3d8b7;Back Squat;Back Squat;legs;legs_quads;compound;squat;barbell;1;3;Legs;2;4;4;8;0
a3e40e96-ab2b-4b16-b4be-25ab786f47a4;Front Squat;Front Squat;legs;legs_quads;compound;squat;barbell;1;3;Legs;2;4;4;8;0
3b36df64-79e7-44ba-8476-7d21f515133f;Lábtoló;Leg Press;legs;legs_quads;compound;squat;machine;1;2;Legs;1;4;8;12;0
e6ada0cf-0758-4749-b53a-03de888da31d;Kitörés;Forward Lunge;legs;legs_quads;compound;lunge;dumbbell;1;2;Legs;1;3;8;12;1
b2f9f1bf-2dea-414d-baf3-817f19d45e1e;Bulgar guggolás;Bulgarian Split Squat;legs;legs_quads;compound;lunge;dumbbell;1;3;Legs;2;3;8;12;1
02c35749-4c1f-4a8a-b6db-569bc2c1a403;Combfeszítő;Leg Extension;legs;legs_quads;isolation;extension;machine;0;1;Legs;1;3;10;15;0
4c7bc2c1-81bb-4b59-b7c6-801acdf14e0b;Román felhúzás;Romanian Deadlift;legs;legs_hamstrings;compound;hinge;barbell;1;3;Legs;2;4;6;10;0
3bd90dbf-e7a5-4f7c-b6b8-71dfe764b1b0;Merevlábas felhúzás;Stiff-leg Dumbbell Deadlift;legs;legs_hamstrings;compound;hinge;dumbbell;1;2;Legs;1;3;8;12;1
98541db5-0c06-4e77-a20e-d882a692317a;Lábhajlító gép;Leg Curl Machine;legs;legs_hamstrings;isolation;curl;machine;0;1;Legs;1;3;10;15;0
972e11ec-d303-4e5a-8d69-83f885de3a23;Hip Thrust;Hip Thrust;legs;legs_hamstrings;compound;hip_thrust;barbell;1;2;Legs;1;4;6;10;0
55d64129-20c9-41d6-b8d3-82191f9763a8;Kettlebell Swing;Kettlebell Swing;legs;legs_hamstrings;compound;hinge;kettlebell;1;2;Legs;1;3;10;15;1
ad5abcaa-29eb-41b7-9fdc-8e6be55ce0ca;Vállból nyomás rúddal;Barbell Shoulder Press;shoulders;shoulders_front;compound;vertical_press;barbell;1;3;Push;2;4;5;8;0
15d93eb7-6359-42eb-b422-743a617bd32e;Vállból nyomás egykezes;Dumbbell Shoulder Press;shoulders;shoulders_front;compound;vertical_press;dumbbell;1;2;Push;1;3;8;12;1
b536adb6-ea6d-4903-ae01-d915765b5910;Arnold nyomás;Arnold Press;shoulders;shoulders_front;compound;vertical_press;dumbbell;1;3;Push;2;3;8;12;1
5987ed6a-31d0-4ac8-936a-b64ce6015651;Előre emelés;Front Raise;shoulders;shoulders_front;isolation;raise;dumbbell;0;1;Push;1;3;10;15;1
24e2ebe5-7c5d-4781-94e5-2a893cad403f;Tárcsás előreemelés;Plate Front Raise;shoulders;shoulders_front;isolation;raise;plate;0;2;Push;1;3;10;15;1
5839404e-b3f4-4c89-8c73-dcd922da02ae;Oldalemelés kézi súllyal;Lateral Raise;shoulders;shoulders_side;isolation;raise;dumbbell;0;1;Push;1;3;10;15;1
59a57131-b02c-458f-8cb3-ebfdd44282d6;Oldalemelés gépen;Machine Lateral Raise;shoulders;shoulders_side;isolation;raise;machine;0;1;Push;1;3;10;15;0
43b0efc1-947b-4ebd-93e1-f8744831bb5e;Oldalemelés kábelen;Cable Lateral Raise;shoulders;shoulders_side;isolation;raise;cable;0;2;Push;1;3;10;15;0
f9b561de-cdbc-4dfd-aea8-d2fcaba0010e;Vállvonogatás;Barbell Shrug;shoulders;shoulders_traps;isolation;shrug;barbell;0;2;Pull;1;3;8;12;0
19ad62be-14ea-45c3-9053-5b39fcfaa59a;Vállvonogatás kézi súllyal;Dumbbell Shrug;shoulders;shoulders_traps;isolation;shrug;dumbbell;0;1;Pull;1;3;10;15;1
e2f11ebf-92e5-4177-afbc-c7fd29378fef;Hátsó oldalemelés;Bent-over Lateral Raise;shoulders;shoulders_rear;isolation;raise;dumbbell;0;2;Pull;1;3;10;15;1
a5be0d13-8b05-4905-aa07-3bcaa905a270;Reverse Pec Deck;Reverse Pec Deck;shoulders;shoulders_rear;isolation;fly;machine;0;1;Pull;1;3;10;15;0
b5f5c083-c2a5-4b59-b997-6408652e3e40;Face Pull;Face Pull;shoulders;shoulders_rear;isolation;horizontal_pull;cable;0;2;Pull;1;3;10;15;0
9dd0d543-b2f3-455a-91de-2255325de28b;Állig húzás;Upright Row;shoulders;shoulders_side;compound;vertical_pull;barbell;1;2;Pull;2;3;8;12;0
777127eb-2cd8-4327-8f17-e4d73ab4c38b;Hátsó váll evezés;Rear Delt Row;shoulders;shoulders_rear;compound;horizontal_pull;dumbbell;1;2;Pull;2;3;8;12;1
2e6756fc-4f78-4b15-bb8c-bc28f80b904d;Álló vádli gépen;Standing Calf Raise;legs;calves;isolation;raise;machine;0;1;Legs;1;3;12;20;0
f1c59a55-6fd0-4f9a-87e4-3fb032b77c6a;Ülő vádli gépen;Seated Calf Raise;legs;calves;isolation;raise;machine;0;1;Legs;1;3;12;20;0
0c881804-d900-4f49-8e26-f4f15a5cb621;Vádli távon;Calf Press on Leg Press Machine;legs;calves;isolation;raise;machine;0;2;Legs;1;4;10;15;0
71cf77eb-cf13-48d9-8205-a7ca09483f76;Széles fekvőtámasz;Wide Push-up;chest;chest_mid;compound;horizontal_press;bodyweight;1;1;Push;1;3;10;20;1
4cf61a35-3429-4609-9f9b-ce70309386d1;Szoros fekvőtámasz;Close-grip Push-up;chest;chest_mid;compound;horizontal_press;bodyweight;1;2;Push;1;3;8;15;1
196ccce4-696d-4933-bc06-635ce897f9db;Ferde fekvőtámasz;Incline Push-up;chest;chest_upper;compound;horizontal_press;bodyweight;1;1;Push;1;3;12;20;1
f364d26d-7adc-4bb8-aa1e-5806770d1858;Alsó fekvőtámasz;Decline Push-up;chest;chest_lower;compound;horizontal_press;bodyweight;1;2;Push;1;3;8;15;1
6f6871e1-fb6d-46c6-a9de-14ee66e6868b;Térdelős fekvőtámasz;Knee Push-up;chest;chest_mid;compound;horizontal_press;bodyweight;1;1;Push;1;3;12;20;1
3f23b156-6835-4828-afc4-5d0c876582c2;Tapssal fekvőtámasz;Clap Push-up;chest;chest_mid;compound;horizontal_press;bodyweight;1;3;Push;2;3;5;10;1
b82ed9b5-8d81-4d8a-9caa-93deadd6bc16;Lassú fekvőtámasz;Slow Tempo Push-up;chest;chest_mid;compound;horizontal_press;bodyweight;1;2;Push;1;4;6;12;1
c4d10833-fcac-424a-9211-2e1d330dd5c2;Izometrikus fekvőtartás;Iso Push-up Hold;chest;chest_mid;isolation;horizontal_press;bodyweight;0;2;Push;1;3;20;40;1
52232929-bb83-408c-b86f-9c7c87ff2f5d;Ferde tárogatás kézisúllyal;Incline Dumbbell Fly;chest;chest_upper;isolation;fly;dumbbell;0;2;Push;1;3;10;15;1
e1643cac-edb2-4730-9db7-84fa98cdb4e3;Tárogatás padon kézisúllyal;Flat Dumbbell Fly;chest;chest_mid;isolation;fly;dumbbell;0;1;Push;1;3;10;15;1
65e00283-de38-4ed1-ab72-3576fb176d52;Asztal alatti evezés;Table Bodyweight Row;back;back_mid;compound;horizontal_pull;bodyweight;1;1;Pull;1;3;8;15;1
df1ac84c-4bfa-43cd-a2b3-922cbd93e1dd;Törzsdöntés előre saját testsúllyal;Bodyweight Good Morning;back;back_mid;compound;hinge;bodyweight;1;1;Pull;1;3;12;20;1
d2815946-cdef-4afc-aa03-9736a4e66dbf;Superman tartás;Superman Hold;back;back_mid;isolation;hinge;bodyweight;0;1;Pull;1;3;20;40;1
95c3b52d-9eba-4635-9693-d67f992ecda0;Fordított hóangyal;Reverse Snow Angel;back;back_mid;isolation;horizontal_pull;bodyweight;0;2;Pull;1;3;12;20;1
ad1dd4e9-313c-407d-89e1-7f2b19177cd8;Hátfeszítés hason fekve;Prone Back Extension;back;back_mid;isolation;hinge;bodyweight;0;1;Pull;1;3;15;25;1
9f5e8554-5c6a-492f-af0d-ee4b57fa22e2;Széthúzás fekve kézisúllyal;Prone Dumbbell Row;back;back_mid;compound;horizontal_pull;dumbbell;1;2;Pull;1;3;10;15;1
98fd529a-ed9a-447d-a192-bfa285de3d73;Egykezes evezés térdelve;Kneeling Single-arm Row;back;back_lats;compound;horizontal_pull;dumbbell;1;2;Pull;1;3;8;12;1
643162c2-a479-4bb4-a1f0-239235688702;Törzsdöntéses evezés kézisúllyal;Bent-over Dumbbell Row;back;back_lats;compound;horizontal_pull;dumbbell;1;2;Pull;2;3;8;12;1
05279e04-0319-4c76-97aa-44591045dca4;Hátprés állva;Standing Back Squeeze;back;back_mid;isolation;horizontal_pull;bodyweight;0;1;Pull;1;3;15;30;1
ea40bc7b-c453-4c1e-99b0-685765694f5b;Hason fekvő evezés törölközővel;Towel Row on Floor;back;back_mid;compound;horizontal_pull;bodyweight;1;1;Pull;1;3;10;15;1
6e26cf12-48a5-4fd5-a840-cc291eb0b582;Guggolás saját testsúllyal;Bodyweight Squat;legs;legs_quads;compound;squat;bodyweight;1;1;Legs;1;3;12;20;1
df40a910-5d99-45db-b430-156ccaf08985;Sumo guggolás;Sumo Squat;legs;legs_quads;compound;squat;bodyweight;1;1;Legs;1;3;12;20;1
a591fe5b-85c7-42bc-9db5-c3ed6997733f;Kitörés helyben;Static Lunge;legs;legs_quads;compound;lunge;bodyweight;1;1;Legs;1;3;10;15;1
727cb08c-7438-4fa4-8a19-bbbb4df8345a;Kitörés hátralépéssel;Reverse Lunge;legs;legs_quads;compound;lunge;bodyweight;1;1;Legs;1;3;10;15;1
04f24848-fc13-4c8b-a25d-7ac398cfc68e;Oldalsó kitörés;Side Lunge;legs;legs_quads;compound;lunge;bodyweight;1;2;Legs;1;3;10;15;1
b04a62f3-9ea2-44ef-8c02-7746189c2e53;Ugró guggolás;Jump Squat;legs;legs_quads;compound;squat;bodyweight;1;3;Legs;2;3;6;12;1
82dbd990-a147-4eba-b6d6-98e8048c056f;Fali ülés;Wall Sit;legs;legs_quads;isolation;squat;bodyweight;0;2;Legs;1;3;20;40;1
e8dd0627-ee14-4a61-95cf-c1f95fabafb4;Román felhúzás kézisúllyal;Dumbbell Romanian Deadlift;legs;legs_hamstrings;compound;hinge;dumbbell;1;2;Legs;2;3;8;12;1
17cf05b8-353c-4ac4-81c9-e8b49cc0c614;Egylábas román felhúzás;Single-leg RDL;legs;legs_hamstrings;compound;hinge;dumbbell;1;3;Legs;2;3;6;10;1
8a5079af-01a5-4033-b1fc-9206573717a1;Vádli emelés saját testsúllyal;Bodyweight Calf Raise;legs;calves;isolation;raise;bodyweight;0;1;Legs;1;4;15;25;1
843e568b-b9a4-415a-bc25-5a36b453e8b0;Vállkörzés;Arm Circles;shoulders;shoulders_side;isolation;raise;bodyweight;0;1;Push;1;3;20;40;1
8d7cccb6-0e70-40ea-8463-af465cf50751;Oldalemelés állva;Standing Lateral Raise;shoulders;shoulders_side;isolation;raise;dumbbell;0;1;Pull;1;3;10;15;1
91708339-c29c-44ab-a641-8af70d4479b4;Előreemelés állva;Front Raise;shoulders;shoulders_front;isolation;raise;dumbbell;0;1;Pull;1;3;10;15;1
3ea89ee1-33e6-47d9-adcc-7724e1f46722;Vállnyomás kézisúllyal;Dumbbell Shoulder Press;shoulders;shoulders_front;compound;vertical_press;dumbbell;1;2;Push;1;3;8;12;1
093ecaf7-064b-47e5-9a6b-2d6b5e416693;Arnold nyomás;Arnold Press;shoulders;shoulders_front;compound;vertical_press;dumbbell;1;3;Push;2;3;8;12;1
3886fc58-465d-42b3-b6b3-d4989f5923fe;Döntött törzsű oldalemelés;Bent-over Lateral Raise;shoulders;shoulders_rear;isolation;raise;dumbbell;0;2;Pull;1;3;10;15;1
eac0a3d0-04ee-4561-8006-873cbe4d90f4;Vállemelés kézisúllyal;Dumbbell Shrug;shoulders;shoulders_traps;isolation;shrug;dumbbell;0;1;Pull;1;3;12;20;1
82116ce5-9152-4b6f-882f-24f6111426f1;Fal melletti kézállás tartás;Wall Handstand Hold;shoulders;shoulders_front;compound;vertical_press;bodyweight;1;3;Push;2;3;15;30;1
3f8fe226-d2a7-4707-a46e-8a2f21d807f9;Fekvőtámasz vállérintéssel;Shoulder Tap Push-up;shoulders;shoulders_front;compound;horizontal_press;bodyweight;1;2;Push;1;3;8;15;1
322f2302-b83e-47f6-8bbf-2a8c631c786b;Pike fekvőtámasz;Pike Push-up;shoulders;shoulders_front;compound;vertical_press;bodyweight;1;3;Push;2;3;6;12;1
0f8522f0-f9f3-4c75-beec-3a0be79baeed;Állva bicepsz kézisúllyal;Standing Dumbbell Curl;biceps;biceps;isolation;curl;dumbbell;0;1;Pull;1;3;10;15;1
364be89f-3ce3-4487-b6a1-eaff174872fe;Kalapács bicepsz;Hammer Curl;biceps;biceps_brachialis;isolation;curl;dumbbell;0;1;Pull;1;3;10;15;1
b6b1250d-ea1e-497f-9a85-d0b3c03c6a36;Koncentrált bicepsz ülve;Concentration Curl;biceps;biceps;isolation;curl;dumbbell;0;2;Pull;1;3;8;12;1
314543ea-b2d9-467f-88fb-b71d3b821e89;Bicepsz 21-esek;21s Curl;biceps;biceps;isolation;curl;dumbbell;0;2;Pull;2;3;21;21;1
8027e29c-954c-4bb1-9dde-61cba0d3b18e;Falnál állós bicepsz;Wall-supported Curl;biceps;biceps;isolation;curl;dumbbell;0;1;Pull;1;3;10;15;1
855207b5-adc1-458c-915c-43913365ac89;Ferde padon bicepsz;Incline Dumbbell Curl;biceps;biceps;isolation;curl;dumbbell;0;2;Pull;2;3;8;12;1
99e664df-4095-41d4-84fe-db09c5ef0a2f;Zottman bicepsz;Zottman Curl;biceps;biceps_brachialis;isolation;curl;dumbbell;0;2;Pull;2;3;8;12;1
ce71c692-1e14-4a5d-a965-7e7005a85852;Ülő bicepsz váltott karral;Seated Alternating Curl;biceps;biceps;isolation;curl;dumbbell;0;1;Pull;1;3;10;15;1
b98414c1-f0ea-4eb9-8ff6-9f1f868792cc;Izometrikus bicepsz tartás;Isometric Curl Hold;biceps;biceps;isolation;curl;dumbbell;0;2;Pull;1;3;20;40;1
40ba1b66-f655-4707-80b5-542663bbac53;Bicepsz törölközővel;Towel Curl;biceps;biceps;isolation;curl;bodyweight;0;1;Pull;1;3;10;15;1
67dfa377-8c4c-499f-b754-70cc198e9857;Tolódzkodás paddal;Bench Dip;triceps;triceps_long;compound;vertical_press;bodyweight;1;2;Push;1;3;8;15;1
faef53c4-567e-4cda-9587-ae952cd2171e;Tolódzkodás földön;Floor Dip;triceps;triceps_long;compound;vertical_press;bodyweight;1;1;Push;1;3;8;15;1
f865b60f-a78b-40af-a80e-2a245f9bef05;Szűk fekvőtámasz;Close-grip Push-up;triceps;triceps_long;compound;horizontal_press;bodyweight;1;2;Push;1;3;8;15;1
fa8cfc49-c18b-4523-925c-36705469f745;Tricepsz nyújtás fej fölött;Overhead Dumbbell Extension;triceps;triceps_long;isolation;extension;dumbbell;0;2;Push;1;3;10;15;1
04c6e872-7865-49a5-a902-90370a918be1;Tricepsz nyújtás döntve;Bent-over Kickback;triceps;triceps_lateral;isolation;extension;dumbbell;0;1;Push;1;3;10;15;1
6f5e64a5-a7b7-4f86-882d-e2e670cb9f78;Tricepsz szűk fekvenyomás padlón;Floor Close-grip Press;triceps;triceps_long;compound;horizontal_press;dumbbell;1;2;Push;2;3;8;12;1
a5fe4d2b-3f26-4317-a917-5804c4d6da42;Tricepsz francia nyomás fekve;Lying Triceps Extension;triceps;triceps_long;isolation;extension;dumbbell;0;2;Push;2;3;8;12;1
